firstname, surname, year, category, motivation, country
John R.,Vane,1982,medicine,"for their discoveries concerning prostaglandins and related biologically active substances",Kingdom
Bengt I.,Samuelsson,1982,medicine,"for their discoveries concerning prostaglandins and related biologically active substances",Sweden
Sune K.,Bergstr_m,1982,medicine,"for their discoveries concerning prostaglandins and related biologically active substances",Sweden
Edwin G.,Krebs,1992,medicine,"for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism",USA
Edmond H.,Fischer,1992,medicine,"for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism",USA
Arvid,Carlsson,2000,medicine,"for their discoveries concerning signal transduction in the nervous system",Sweden
Paul,Greengard,2000,medicine,"for their discoveries concerning signal transduction in the nervous system",USA
Eric R.,Kandel,2000,medicine,"for their discoveries concerning signal transduction in the nervous system",USA
Bruce A.,Beutler,2011,medicine,"for their discoveries concerning the activation of innate immunity",USA
Bruce A.,Beutler,2011,medicine,"for their discoveries concerning the activation of innate immunity",USA
Jules A.,Hoffmann,2011,medicine,"for their discoveries concerning the activation of innate immunity",France
Gerald M.,Edelman,1972,medicine,"for their discoveries concerning the chemical structure of antibodies",USA
Rodney R.,Porter,1972,medicine,"for their discoveries concerning the chemical structure of antibodies",Kingdom
Erwin,Neher,1991,medicine,"for their discoveries concerning the function of single ion channels in cells",Germany
Bert,Sakmann,1991,medicine,"for their discoveries concerning the function of single ion channels in cells",Germany
Edward B.,Lewis,1995,medicine,"for their discoveries concerning the genetic control of early embryonic development",USA
Eric F.,Wieschaus,1995,medicine,"for their discoveries concerning the genetic control of early embryonic development",USA
Julius,Axelrod,1970,medicine,"for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation",USA
